Fecha,Concepto,Importe,Cuenta,Saldo,Referencia
15/08/2025,Transferencia recibida - RENTA POZOALBERO,767.86,****1234,-312.462310473284,REF47521
14/08/2025,Pago - GASTOS ADMINISTRACION,-42.3,****1234,-267.3852968393524,REF67943
12/08/2025,Transferencia recibida - ALQUILER PLATON 30,916.9,****1234,252.46172612194175,REF39751
09/08/2025,Pago - SUMINISTROS ELECTRICIDAD,-59.75,****1234,-81.12368869410926,REF55098
04/08/2025,Pago - COMUNIDAD ARANGUREN 68,-121.0,****1234,-133.3873431143533,REF63987
01/08/2025,Transferencia recibida - ALQUILER PLATON 30,911.4,****1234,316.98689937596225,REF70109
29/07/2025,Transferencia recibida - RENTA ARANGUREN 66,1159.33,****1234,179.11830621377123,REF14097
23/07/2025,Transferencia - REPARACION FONTANERIA,-89.15,****1234,-82.64658750361218,REF26756
17/07/2025,Transferencia recibida - ALQUILER PLATON 30,952.83,****1234,495.95524023210066,REF48306
15/07/2025,Pago - COMUNIDAD ARANGUREN 66,-94.72,****1234,396.2009858318835,REF22287
14/07/2025,Pago - GASTOS ADMINISTRACION,-44.36,****1234,459.1513710328709,REF46689
07/07/2025,Pago - COMUNIDAD ARANGUREN 66,-100.03,****1234,-369.77633024187037,REF22683
06/07/2025,Pago - SUMINISTROS ELECTRICIDAD,-64.2,****1234,-358.73008387286006,REF72769
03/07/2025,Transferencia recibida - DEVOLUCION FIANZA,636.61,****1234,141.4899918016514,REF61325
22/06/2025,Pago - COMUNIDAD ARANGUREN 68,-122.21,****1234,-47.29836250327821,REF45388
21/06/2025,Pago - IBI PLATON 30,-250.64,****1234,148.37548385101945,REF47871
10/06/2025,Pago - COMUNIDAD ARANGUREN 68,-114.09,****1234,-404.9060803012205,REF36266
05/06/2025,Transferencia recibida - DEVOLUCION FIANZA,623.59,****1234,38.592020459895366,REF42478
01/06/2025,Pago - IBI PLATON 30,-237.38,****1234,-30.074358173677183,REF26934
27/05/2025,Pago - COMUNIDAD ARANGUREN 66,-106.14,****1234,162.08820460471736,REF89900
27/05/2025,Pago - GASTOS ADMINISTRACION,-46.07,****1234,-415.23179007647616,REF22969
26/05/2025,Pago - COMUNIDAD ARANGUREN 68,-116.87,****1234,-435.08105895078285,REF59565
25/05/2025,Transferencia recibida - RENTA ARANGUREN 66,1111.93,****1234,-29.35519349183471,REF39099
