Fecha,Concepto,Importe,Cuenta,Saldo,Referencia
21/08/2025,Transferencia recibida - DEVOLUCION FIANZA,592.7,ES02 0128 0730 9101 6000 0605,2113.581371869949,REF82189
17/08/2025,Transferencia recibida - ALQUILER PLATON 30,950.22,ES02 0128 0730 9101 6000 0605,2163.490767181473,REF39354
10/08/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1284.91,ES02 0128 0730 9101 6000 0605,1734.0062198261655,REF72113
08/08/2025,Transferencia recibida - DEVOLUCION FIANZA,622.48,ES02 0128 0730 9101 6000 0605,1707.6210931029118,REF76666
05/08/2025,Pago - GASTOS ADMINISTRACION,-52.57,ES02 0128 0730 9101 6000 0605,2517.9307283775083,REF22656
25/07/2025,Pago - GASTOS ADMINISTRACION,-50.79,ES02 0128 0730 9101 6000 0605,1833.2043081183822,REF61556
11/07/2025,Pago - COMUNIDAD ARANGUREN 68,-129.26,ES02 0128 0730 9101 6000 0605,1706.6579659862186,REF37148
11/07/2025,Pago - SUMINISTROS ELECTRICIDAD,-59.53,ES02 0128 0730 9101 6000 0605,1777.860375263198,REF56336
08/07/2025,Pago - COMUNIDAD ARANGUREN 68,-112.12,ES02 0128 0730 9101 6000 0605,2611.905854551668,REF89148
08/07/2025,Transferencia recibida - ALQUILER PLATON 30,921.06,ES02 0128 0730 9101 6000 0605,1848.5748814116646,REF86833
01/07/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1290.75,ES02 0128 0730 9101 6000 0605,1807.3985924499325,REF95531
25/06/2025,Pago - COMUNIDAD ARANGUREN 66,-105.61,ES02 0128 0730 9101 6000 0605,2244.3032411644745,REF40015
13/06/2025,Transferencia - REPARACION FONTANERIA,-84.44,ES02 0128 0730 9101 6000 0605,2144.288148243869,REF82738
13/06/2025,Pago - SEGURO HOGAR MULTIPROPIEDAD,-187.68,ES02 0128 0730 9101 6000 0605,2016.0995759734005,REF46298
12/06/2025,Pago - COMUNIDAD ARANGUREN 68,-127.36,ES02 0128 0730 9101 6000 0605,2479.4720198642285,REF33521
12/06/2025,Pago - SUMINISTROS ELECTRICIDAD,-70.74,ES02 0128 0730 9101 6000 0605,1810.5260955413394,REF64121
