Fecha,Concepto,Importe,Cuenta,Saldo,Referencia
20/08/2025,Pago - COMUNIDAD ARANGUREN 68,-119.44,ES02 0128 0730 9101 6000 0605,1926.9959565124425,REF44101
17/08/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1234.67,ES02 0128 0730 9101 6000 0605,1914.170669300682,REF98000
16/08/2025,Pago - COMUNIDAD ARANGUREN 68,-127.48,ES02 0128 0730 9101 6000 0605,2594.402663398733,REF16129
15/08/2025,Transferencia recibida - ALQUILER PLATON 30,989.57,ES02 0128 0730 9101 6000 0605,1634.654794882616,REF72545
13/08/2025,Pago - IBI PLATON 30,-240.64,ES02 0128 0730 9101 6000 0605,2540.1881910190327,REF75080
13/08/2025,Transferencia recibida - ALQUILER PLATON 30,930.84,ES02 0128 0730 9101 6000 0605,1871.7199516523244,REF38097
13/08/2025,Pago - COMUNIDAD ARANGUREN 66,-91.05,ES02 0128 0730 9101 6000 0605,2619.004793312217,REF92225
11/08/2025,Pago - IBI PLATON 30,-247.55,ES02 0128 0730 9101 6000 0605,2507.724138126053,REF11623
10/08/2025,Pago - COMUNIDAD ARANGUREN 68,-123.68,ES02 0128 0730 9101 6000 0605,2200.7419641894485,REF40375
07/08/2025,Pago - COMUNIDAD ARANGUREN 66,-91.39,ES02 0128 0730 9101 6000 0605,2405.1824379684626,REF98059
06/08/2025,Pago - GASTOS ADMINISTRACION,-35.07,ES02 0128 0730 9101 6000 0605,1793.859489436642,REF93015
06/08/2025,Transferencia recibida - ALQUILER PLATON 30,985.41,ES02 0128 0730 9101 6000 0605,2473.604452318419,REF91629
03/08/2025,Pago - GASTOS ADMINISTRACION,-50.66,ES02 0128 0730 9101 6000 0605,2094.571594485325,REF45145
03/08/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1261.69,ES02 0128 0730 9101 6000 0605,1660.0890299130745,REF57162
01/08/2025,Pago - COMUNIDAD ARANGUREN 68,-128.39,ES02 0128 0730 9101 6000 0605,1929.4782337731745,REF80888
01/08/2025,Pago - COMUNIDAD ARANGUREN 66,-91.54,ES02 0128 0730 9101 6000 0605,1992.1371522762574,REF58924
30/07/2025,Pago - IBI PLATON 30,-236.95,ES02 0128 0730 9101 6000 0605,1836.7424961322422,REF47620
27/07/2025,Pago - GASTOS ADMINISTRACION,-42.32,ES02 0128 0730 9101 6000 0605,2584.8483872673723,REF73531
24/07/2025,Transferencia recibida - RENTA ARANGUREN 66,1108.2,ES02 0128 0730 9101 6000 0605,2382.483078266104,REF54608
23/07/2025,Pago - SEGURO HOGAR MULTIPROPIEDAD,-181.72,ES02 0128 0730 9101 6000 0605,2524.9716652825045,REF33642
