Fecha,Concepto,Importe,Cuenta,Saldo,Referencia
21/08/2025,Transferencia recibida - RENTA POZOALBERO,797.02,ES02 0128 0730 9101 6000 0605,2158.42234813685,REF74668
20/08/2025,Transferencia recibida - DEVOLUCION FIANZA,639.08,ES02 0128 0730 9101 6000 0605,2321.5031253266425,REF37640
20/08/2025,Transferencia - REPARACION FONTANERIA,-91.65,ES02 0128 0730 9101 6000 0605,1797.2492040806192,REF95237
19/08/2025,Transferencia recibida - ALQUILER PLATON 30,989.69,ES02 0128 0730 9101 6000 0605,2602.099272257179,REF33334
18/08/2025,Transferencia recibida - DEVOLUCION FIANZA,625.49,ES02 0128 0730 9101 6000 0605,2402.182028976021,REF57567
17/08/2025,Pago - COMUNIDAD ARANGUREN 66,-105.31,ES02 0128 0730 9101 6000 0605,1871.209147236869,REF56180
17/08/2025,Transferencia recibida - RENTA ARANGUREN 66,1129.21,ES02 0128 0730 9101 6000 0605,2523.6225219107764,REF64043
17/08/2025,Pago - SEGURO HOGAR MULTIPROPIEDAD,-181.33,ES02 0128 0730 9101 6000 0605,2332.740333118322,REF41202
17/08/2025,Transferencia recibida - RENTA ARANGUREN 66,1142.87,ES02 0128 0730 9101 6000 0605,1795.520243643691,REF17068
17/08/2025,Pago - SUMINISTROS ELECTRICIDAD,-64.33,ES02 0128 0730 9101 6000 0605,1706.5956272549001,REF98778
15/08/2025,Pago - COMUNIDAD ARANGUREN 68,-123.0,ES02 0128 0730 9101 6000 0605,1649.0583976449432,REF65911
10/08/2025,Pago - GASTOS ADMINISTRACION,-52.81,ES02 0128 0730 9101 6000 0605,1778.0404518851608,REF55524
09/08/2025,Transferencia recibida - ALQUILER PLATON 30,981.72,ES02 0128 0730 9101 6000 0605,2052.57490790393,REF37160
09/08/2025,Transferencia recibida - RENTA POZOALBERO,835.73,ES02 0128 0730 9101 6000 0605,1735.7818840010684,REF31884
08/08/2025,Pago - IBI PLATON 30,-251.13,ES02 0128 0730 9101 6000 0605,1782.522992540922,REF90465
05/08/2025,Pago - GASTOS ADMINISTRACION,-50.77,ES02 0128 0730 9101 6000 0605,2104.8286586154863,REF74392
04/08/2025,Transferencia recibida - ALQUILER PLATON 30,913.7,ES02 0128 0730 9101 6000 0605,2549.042281761248,REF12286
02/08/2025,Transferencia - REPARACION FONTANERIA,-81.34,ES02 0128 0730 9101 6000 0605,1917.934845760714,REF36296
01/08/2025,Pago - SEGURO HOGAR MULTIPROPIEDAD,-175.42,ES02 0128 0730 9101 6000 0605,1709.5407317755967,REF23399
01/08/2025,Pago - COMUNIDAD ARANGUREN 68,-126.59,ES02 0128 0730 9101 6000 0605,2165.4927361892906,REF47153
01/08/2025,Transferencia recibida - DEVOLUCION FIANZA,589.95,ES02 0128 0730 9101 6000 0605,2489.5195628556517,REF90840
28/07/2025,Pago - GASTOS ADMINISTRACION,-35.88,ES02 0128 0730 9101 6000 0605,2310.5969787597223,REF37292
28/07/2025,Pago - GASTOS ADMINISTRACION,-44.09,ES02 0128 0730 9101 6000 0605,2089.226379276548,REF38625
27/07/2025,Pago - GASTOS ADMINISTRACION,-54.77,ES02 0128 0730 9101 6000 0605,2444.1072843752204,REF31670
26/07/2025,Pago - SEGURO HOGAR MULTIPROPIEDAD,-178.0,ES02 0128 0730 9101 6000 0605,2160.414557645245,REF81268
26/07/2025,Transferencia recibida - ALQUILER PROP. ARANGUREN 68,1272.1,ES02 0128 0730 9101 6000 0605,1701.473222506259,REF38896
26/07/2025,Transferencia - REPARACION FONTANERIA,-90.31,ES02 0128 0730 9101 6000 0605,2512.8752054250767,REF73540
26/07/2025,Pago - IBI PLATON 30,-243.31,ES02 0128 0730 9101 6000 0605,2187.9554825155324,REF16696
25/07/2025,Transferencia recibida - RENTA ARANGUREN 66,1159.58,ES02 0128 0730 9101 6000 0605,1789.4764051769512,REF43022
23/07/2025,Pago - SEGURO HOGAR MULTIPROPIEDAD,-189.92,ES02 0128 0730 9101 6000 0605,2295.1164626478703,REF34864
